Locality,Lat.,Long.,"SurfaceElevation(m)","LakeSurfaceArea(km2)","MeanDepth (m)","Max.Depth(m)",Tw_Jan,Tw_Feb,Tw_Mar,Tw_April,Tw_May,Tw_Jun,Tw_July,Tw_Aug,Tw_Sept,Tw_Oct,Tw_Nov,Tw_Dec,MAWT_°C,Ta_Jan,Ta_Feb,Ta_Mar,Ta_April,Ta_May,Ta_Jun,Ta_July,Ta_Aug,Ta_Sept,Ta_Oct,Ta_Nov,Ta_Dec,MAAT_(C),Tw_ref,Ta_ref,Tw_AMJJAS,Ta_AMJJAS
"Lake Ihotry, Madagascar",-21.949,43.648,50,100,2,4,30,30.5,30,28,25,21,21,25,27,28,29.2,30,27.1,27.5,27.4,27,25.5,23.1,21.2,20.9,21.5,22.8,24.4,25.7,26.8,24.5,1,a,24.5,22.50
"Lake Tinaroo, Queensland AUS",-17.167,145.583,670,35,,42,27,27.3,26.5,25.2,23.7,21.4,20.5,20.6,22.2,25.3,27,26.4,24.4,23,23.8,22.7,22,20,16.5,17.5,18,19.3,22.1,23.2,23.9,21,2,I,22.3,18.88
"Kariba Lake, Zambia",-16.529,28.761,484,5200,17,120,28,28,28,27.6,27.4,25.5,24,23,25.3,26,25,28,26.3,26.8,27.3,27,27.5,23.9,22.6,20.6,23.2,26.2,30.5,30,27.2,26.1,3,b,25.5,24.00
Lake Malawi,-14.159,35.047,500,29600,292,706,28.5,28.3,28.1,27.5,26.8,26,24.2,23.5,24.3,26.6,27.2,28.5,26.6,23.7,24,23.5,22.9,21,19.3,20.1,22,24.3,25,24.5,22.5,22.7,4,I,25.4,21.60
Lake Mweru,-8.909,28.764,917,5120,8,27,27.2,27.2,27.2,27.2,26.2,22.5,22,22.1,25.1,26.8,26.5,26.4,25.5,23.6,23.8,24,24.1,23.2,21.5,21.4,23.1,25.3,25.5,24.2,23.6,23.6,3,c,24.2,23.10
Lake Tanganyika (Mwela - south end),-8.589,31.057,773,32900,570,1470,27,26.8,26.8,26.9,25.1,24.8,24,23.9,24.7,25.3,26.8,27,25.8,23.1,23.3,23.6,23.4,23.2,21.7,21.3,22.5,23.9,24.5,23.4,23,23.1,4,I,24.9,22.67
Lake Tanganyika (Uvira - North End),-3.396,29.136,773,32900,570,1470,25.8,26.2,26.7,26.8,26.2,25.5,25.4,25.6,25.6,25.8,25.7,25.9,25.9,23.8,24,24,23.8,24,23.3,23.1,24.2,25.1,25,23.8,23.6,24,4,I,25.9,23.92
Kivu Lake,-2.508,28.881,1460,2700,240,480,24.4,23.8,23.5,23.8,23.5,23.5,23,23,23.5,24.5,25,25,23.9,19.8,19.8,19.8,19.1,19.4,19.8,19.3,20,19.7,19.8,18.9,19,19.5,3,d,23.4,19.55
"Lake Victoria, Kenya",0.102,32.606,1133,68800,40,83,25.5,26.3,26.3,25.8,25.4,25.3,24.7,24.8,24.7,24.9,25.4,25.7,25.4,22.6,22.8,22.9,22.5,22.2,21.8,21.3,21.6,22.1,22.7,22.7,22.4,22.3,5,e,25.1,21.92
"Lake Albert, Uganda",1.452,30.492,615,5300,25,58,28.5,28.5,29,29,29,28.7,28,28,28,27.7,28.5,29,28.5,24,24.5,24.5,23.5,23,22,22,22,22.5,23,23,23,23,3,e,28.5,22.50
